문제,선택지,답안
이원론이란 무엇입니까?,"['이원론은 국제법과 국내법이 통합된 법체계의 일부라고 제안합니다', '이원론 하에서는 국제법과 국내법이 별개의 법체계를 구성합니다', '이원론은 국제법과 국내법이 별개이지만 계층적으로 동등하다고 제안합니다', '이원론은 국제법과 국내법이 별개의 법체계이며 국내법이 항상 우선한다고 제안합니다']",1
"경찰차 운전자는 차가 3.5 m/s의 속도로 이동하고 있는 벽에서 차의 사이렌의 메아리를 듣습니다. 음속이 350 m/s이고 사이렌의 주파수가 600 Hz일 때, 운전자는 메아리를 다음 중 가장 가까운 주파수로 듣습니다.","['588 Hz', '594 Hz', '600 Hz', '612 Hz']",3
다음 중 어느 것이 종이의 공급 곡선을 왼쪽으로 이동시키는 원인인가?,"['종이 생산자들이 앞으로 몇 달 동안 종이 가격이 하락할 것으로 예상한다.', '종이의 보완재인 연필의 가격이 상승한다.', '종이 생산에 사용되는 기술의 개선.', '환경 문제로 인해 매년 수확할 수 있는 목재의 양이 줄어든다.']",3
메모리얼 데이 주말에 매년 개최되는 스포츠 이벤트는 무엇입니까?,"['Iditarod', 'Kentucky Derby', 'Indianapolis 500', 'Super Bowl']",2
"올리버 올리베티 박사가 몇 달 동안 만나 온 고객이 최근에 직장을 바꾸었으며, 새 보험 계획이 기존 질환을 12개월 동안 보장하지 않는다는 사실을 알게 되었습니다. 고객은 올리베티 박사에게 치료를 막 시작한 것처럼 보이도록 청구서를 작성해 달라고 요청합니다. 올리베티 박사가 고객의 요청을 들어준다면, 그는 _______ 행동을 하는 것입니다.","['고객의 복지를 고려하고 있으므로 윤리적으로 행동하는 것이다.', '그렇게 하지 않으면 고객이 치료를 중단해야 하는 경우에만 윤리적으로 행동하는 것이다.', '보험 서류에 치료가 보험 효력 발생 후에 시작되었다는 진술에 서명할 필요가 없는 경우에만 윤리적으로 행동하는 것이다.', '비윤리적으로 행동하는 것이다.']",3
"A 그룹은 측정된 관심사가 엔지니어의 관심사와 매우 유사한 사람들로 구성되어 있으며, B 그룹은 측정된 관심사가 엔지니어의 관심사와 매우 다른 사람들로 구성되어 있습니다. A 그룹과 B 그룹 모두 엔지니어링에 입문했다는 점을 고려할 때, 다음 중 어느 진술이 정당화될 수 있습니까?","['A 그룹 구성원은 직업에서 더 오래 지속될 가능성이 높다', 'A 그룹과 B 그룹은 직업에서의 성공이나 만족도에 차이가 없을 것이다', 'A 그룹 구성원은 직업에서 더 성공할 가능성이 높다', 'B 그룹 구성원은 A 그룹과 동일한 수준의 성공을 달성하겠지만, 더 천천히 이를 달성할 것이다']",0
"2020년 기준 미국의 일반적인 도덕 기준에 따르면, 주인공(나/내가/나의 사용)이 명백히 도덕적으로 잘못된 행동을 하는 시나리오는 어느 것입니까? 시나리오 1 | 나는 부업으로 아이들을 팔았다. 시나리오 2 | 나는 모두가 떠날 때까지 기다렸다가 진열대를 청소했다.","['잘못, 잘못', '잘못, 잘못 아님', '잘못 아님, 잘못', '잘못 아님, 잘못 아님']",1
그리스 철학자들이 신의 의인화된 관점을 거부한 주요 변화는 언제였습니까?,"['기원전 3세기 초', '기원전 2세기와 1세기', '기원전 6세기 말', '기원전 4세기와 3세기']",2
"알고리즘은 하나 이상의 정수 목록에서 최대 값을 식별하는 데 사용될 것입니다. 아래 두 가지 버전의 알고리즘을 고려하십시오.

 알고리즘 I : 변수 max의 값을 -1로 설정합니다. 정수 값 목록을 반복합니다. 데이터 값이 변수 max의 값보다 크면 max를 데이터 값으로 설정합니다.
 알고리즘 II : 변수 max의 값을 첫 번째 데이터 값으로 설정합니다. 정수 목록의 나머지 값을 반복합니다. 데이터 값이 변수 max의 값보다 크면 max를 데이터 값으로 설정합니다.

 다음 중 어떤 설명이 두 알고리즘의 동작을 가장 잘 설명합니까?","['두 알고리즘 모두 모든 입력 값에서 올바르게 작동합니다.', '알고리즘 I은 항상 올바르게 작동하지만, 알고리즘 II는 목록의 첫 번째 값이 최대 값이 아닐 때만 올바르게 작동합니다.', '알고리즘 II는 항상 올바르게 작동하지만, 알고리즘 I은 최대 값이 -1보다 크거나 같을 때만 올바르게 작동합니다.', '입력에 양수와 음수 값이 모두 포함된 경우 두 알고리즘 모두 최대 값을 올바르게 식별하지 못합니다.']",3
"가설 검정이 5% 유의 수준을 사용하여 수행된다고 가정합시다. 다음 중 올바른 진술은 무엇입니까?

(i) 유의 수준은 검정의 크기와 같습니다.

(ii) 유의 수준은 검정의 힘과 같습니다.

(iii) 양측 검정의 경우 전체 분포의 2.5%가 각 꼬리 기각 영역에 있을 것입니다.

(iv) 양측 검정의 경우 전체 분포의 5%가 각 꼬리 기각 영역에 있을 것입니다.","['(ii)와 (iv)만', '(i)와 (iii)만', '(i), (ii), (iii)만', '(i), (ii), (iii), (iv)']",1
"이 두 가지 시나리오 중에서, 2020년 미국의 일반적인 도덕 기준에 따르면 주인공(나/내가/내가 사용하는)이 명백히 도덕적으로 잘못된 행동을 하는 것은 어느 시나리오입니까? 시나리오 1 | 나는 버섯을 따기 위해 숲으로 들어갔다. 시나리오 2 | 나는 가족이 탄 차를 다리에서 떨어뜨렸다.","['잘못, 잘못', '잘못, 잘못 아님', '잘못 아님, 잘못', '잘못 아님, 잘못 아님']",2
"내부 해시 테이블에는 0, 1, 2, 3, 4번으로 번호가 매겨진 5개의 버킷이 있습니다. 키는 정수이며, 해시 함수 h(i) = i mod 5가 사용되며, 충돌이 발생하면 선형 탐색 방식으로 해결됩니다 (즉, 버킷 h(i)가 채워져 있으면 h(i) + 1, h(i) + 2, ... 순으로 모든 버킷 번호를 모듈로 5로 계산하여 시도합니다). 처음에 비어 있는 해시 테이블에 키가 13, 8, 24, 10, 3인 요소를 그 순서대로 삽입하면, 번호가 2인 버킷의 내용은 _______입니다.","['3', '8', '10', '13']",0
물체가 미적 가치를 가지려면 그것이 _______라는 주장이 있습니다.,"['정의될 수 없다', '유용성이 없다', '중요한 기능을 수행한다', '의미가 없다']",2
"다음 논증에 대해 완전한 진리표를 작성하십시오. 그런 다음 진리표를 사용하여 논증이 타당한지 여부를 결정하십시오. 논증이 타당하지 않다면, 반례를 제시하는 옵션을 선택하십시오. (다른 반례도 있을 수 있습니다.)
P ⊃ Q
Q · R / ~P · R","['타당함', '타당하지 않음. P, R, Q가 모두 참일 때 반례', '타당하지 않음. P와 Q가 참이고 R이 거짓일 때 반례', '타당하지 않음. R과 Q가 참이고 P가 거짓일 때 반례']",1
다음 중 헌법에 나타나지 않는 것은 무엇입니까?,"['선거인단', '정당', '권력 분립', '의회 의원의 임기']",1
2학년 대학생은 보통 무엇이라고 불리나요?,"['소포모어', '시니어', '프레시맨', '주니어']",0
왜 우리는 수성 극지의 분화구에서 물-얼음을 찾습니까?,"['사실 물-얼음은 수성 전체에 있으며 극지에만 있는 것이 아닙니다.', '극지는 혜성 충돌이 있었던 유일한 장소입니다.', '지구에서의 레이더는 수성의 극지밖에 볼 수 없습니다.', '이 분화구들은 수성에서 유일하게 영구적으로 그늘진 지역을 포함하고 있습니다.']",3
"한 부부가 학교 상담사의 권유로 그들의 열 살 난 아들을 치료받으러 왔습니다. 상담사는 그 소년이 선생님과 말다툼을 시작하고 급우들과 신체적 싸움을 벌이기 시작해서 걱정하고 있습니다. 소년과 그의 가족과 몇 차례 상담을 한 후, 학교 교장으로부터 소년의 상태에 대한 정보를 요청하는 편지를 받게 되며, 편지와 함께 소년의 부모가 서명한 동의서가 포함되어 있습니다. 윤리적인 심리학자로서, 당신은:","['허가받은 심리학자 외에는 기록을 공개하지 않는다.', ""소년의 부모 외에는 기록을 공개하지 않는다."", ""학교의 우려와 관련이 있다고 생각하는 정보만 공개한다."", '소년과 그의 가족에 대한 완전한 파일의 복사본을 공개한다.']",2
"낸시는 시험 공부를 한 시간 하는 것, 잔디를 깎는 일을 한 시간 동안 하고 6달러를 버는 것, 또는 조카를 한 시간 동안 돌보고 8달러를 버는 것 중 하나를 선택할 수 있습니다. 낸시가 시험 공부를 선택했다는 것을 알고 있다면, 다음 중 어느 것이 사실입니까?","['공부에서 얻는 이익이 8달러의 기회비용보다 크다.', '공부의 기회비용은 14달러로, 공부에서 얻는 이익보다 적다.', '낸시는 공부와 잔디 깎기에 무관심하다.', '낸시의 행동은 비합리적이다, 왜냐하면 조카를 돌보는 것이 명백히 다른 모든 선택지보다 우월했기 때문이다.']",0
'자산'이라는 용어는 다음을 의미합니다:,"['가난한 사람들이 상대적으로 박탈감을 느끼게 하는 문화적으로 가치 있는 상품과 생활 수준', '사람이 급여나 임금에서 받는 금전의 흐름', '토지, 주식 및 은행 예금을 포함한 경제적 자원의 축적', '다양한 양의 재산을 소유한 인구의 '부분'']",2
명제 1 | 모든 체는 또한 환이다. 명제 2 | 모든 환은 곱셈 항등원을 가진다.,"['참, 참', '거짓, 거짓', '참, 거짓', '거짓, 참']",2
다음 이름 중 교황의 이름으로 사용된 적이 없는 것은 무엇입니까?,"['레오', '란도', '리누스', '로렌스']",3
세계 보건 기구는 어떤 그룹의 사람들에게 아연 보충제를 권장합니까?,"['임신 및 수유 중인 여성', '심각한 영양실조 또는 설사를 겪는 어린이', '발육 부진이 높은 저소득 지역의 모든 어린이', '저소득 노인']",1
"주어진 수열의 첫 번째 항은 1이고, 각 연속 항은 수열의 모든 이전 항의 합입니다. 5000을 초과하는 첫 번째 항의 값은 무엇입니까?","['10240', '5001', '5002', '8192']",3
"2020년 미국의 일반적인 도덕 기준에 따르면, 주인공(나/내가/내가 사용하는)이 명백히 도덕적으로 잘못된 행동을 하는 두 가지 시나리오 중 어느 것입니까? 시나리오 1 | 나는 이웃 아이들에게 먹이기 위해 개 사료를 샀다. 시나리오 2 | 나는 곰을 산만하게 하기 위해 내 음식을 던졌다.","['잘못, 잘못', '잘못, 잘못 아님', '잘못 아님, 잘못', '잘못 아님, 잘못 아님']",1
한 나라를 통합하고 강화하는 힘을 설명하는 용어는 무엇입니까?,"['확산', '원심력', '구심력', '자민족중심주의']",2
"10,000년 전의 유적지에서 뉴욕 허드슨 강 계곡 근처에서 발견된 순록 뼈의 존재는 _______을(를) 암시합니다.","['주요 식량원이 순록 고기였다.', '당시 기후가 훨씬 추웠다.', '순록이 캐나다에서 미국으로 수입되었다.', '이 유적지에 살았던 사람들이 높은 콜레스테롤을 가지고 있었다.']",1
다음 중 마르네프가 약물 금지가 가부장적이라는 반대에 대한 응답 중 하나는 무엇입니까?,"['약물 금지는 약물을 생산/판매하려는 사람들의 이익이 아닌 다른 사람들의 이익을 위해 이루어질 것이므로, 반대할 만한 의미에서 가부장적이지 않습니다.', '약물 금지는 가부장적일 수 있지만, 그 결과가 가부장주의에 대한 고려를 능가할 만큼 좋을 것입니다.', '약물 금지는 성인을 대상으로 하며, 가부장적일 수 있는 대상은 오직 어린이입니다.', '가부장적 관행이 영향을 받는 사람들의 진정한 이익에 부합할 때 가부장주의는 항상 정당화됩니다.']",0
프로그램된 세포 사멸인 아폽토시스는 생명체에서 필수적인 과정입니다. 다음 중 아폽토시스에 대해 옳지 않은 것은 무엇입니까?,"['무작위로 발생한다.', '생명체가 더 이상 필요로 하지 않는 특정 세포가 죽는다.', '너무 많은 돌연변이가 축적되었을 때 세포가 아폽토시스를 수행한다.', '식물 세포는 기생충에 감염된 세포에서 방어 조치로 아폽토시스를 수행한다.']",0
사람들 간의 권리를 설정하고 그 권리의 침해에 대한 구제를 제공하는 법 체계는 다음과 같이 알려져 있습니다:,"['형법', '민법', '통일상법전', '선례 구속의 원칙']",1
"2020년 기준 미국의 일반적인 도덕 기준에 따르면, 주인공(나/내가/내가 사용하는)이 두 시나리오 중 어느 시나리오에서 명백하게 도덕적으로 잘못된 일을 했습니까? 시나리오 1 | 나는 무고한 남자를 그의 집으로 데려갔다. 시나리오 2 | 나는 내 아기에게 마실 칵테일을 만들었다.","['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",2
Huemer는 약물 사용의 해악이 중요한 의미에서 _______ 생각할 이유가 없다고 주장합니다.,"['법적으로 허용된 해로운 활동보다 평균적으로 더 해롭다.', '법적으로 허용된 다른 해로운 활동의 해악과 다르다.', ""법적으로 허용된 해로운 활동보다 개인의 성격에 더 해롭다."", '위의 모든 것.']",3
다음 중 변형 기반 퍼징에 해당하는 것은 무엇입니까?,"['이전 입력을 수정하여 각기 다른 입력을 생성합니다', '대상 프로그램에 작은 변형을 가하여 오류를 유도합니다', '각 입력은 주어진 문법을 따르는 변형입니다', '파일 기반 퍼징에만 의미가 있으며 네트워크 기반 퍼징에는 해당하지 않습니다']",0
바이러스는/바이러스는,"['지구상에서 가장 풍부한 생명체인가?', '박테리아보다 먼저 발견되었는가?', '실험실에서 동물에 배양되었는가?', '모든 인간 질병의 원인인가?']",0
왼쪽으로 꼬리가 길게 늘어진 왜도 분포에서 가장 높은 값을 가지는 통계량은 _______입니다.,"['표준 편차', '최빈값', '중앙값', '평균']",1
"로크에 따르면, 모든 사람은 다른 사람들과 합의하여 하나의 정부 아래 하나의 정치적 단체를 만들 때, 그 사회의 모든 사람에게 _______의 결정에 따를 의무를 지게 됩니다.","['다수결', '왕', '판사들', '자신의 의지']",0
다음 두 가지 시나리오 중에서 주인공(나/내가 사용하는 사람)이 2020년 미국의 일반적인 도덕적 기준에 따라 명백히 도덕적으로 잘못된 행동을 하는 시나리오는 무엇입니까? 시나리오 1 | 내가 일하는 식당 바닥에 유리가 깨져서 나는 그 조각들을 쓰레받기에 쓸어 담았다. 시나리오 2 | 나는 떨어지는 동료가 소파에 착지하도록 신경 썼다.,"['잘못, 잘못', '잘못, 잘못 아님', '잘못 아님, 잘못', '잘못 아님, 잘못 아님']",3
"다음 정보와 관련된 질문입니다.
""우리 헌법은 이웃 국가들의 법을 모방하지 않습니다. 우리는 다른 국가들에게 본보기가 되며, 스스로 모방자가 아닙니다. 우리 헌법의 운영은 소수가 아닌 다수를 지지합니다. 그래서 이것을 민주주의라고 부릅니다. 법을 보면, 사적인 차이에서 모든 사람에게 동등한 정의를 제공합니다. 사회적 지위가 없더라도, 공직에서의 승진은 능력에 대한 평판에 달려 있으며, 계급 고려는 공로에 방해가 되지 않습니다. 또한, 가난이 방해가 되지 않으며, 국가에 봉사할 수 있는 사람이라면 그의 조건의 불투명성에 의해 방해받지 않습니다. 우리가 정부에서 누리는 자유는 일상 생활에도 확장됩니다. 거기서 우리는 서로에 대해 질투심 많은 감시를 하지 않으며, 이웃이 하고 싶은 일을 해서 화를 내거나, 비록 긍정적인 처벌을 가하지 않더라도 불쾌감을 줄 수 있는 그런 해로운 시선을 보내지 않습니다. 그러나 이러한 사적인 관계의 편안함은 우리를 무법자로 만들지 않습니다. 이 두려움이 우리의 주요 안전장치로, 우리에게 법관과 법을 따르도록 가르치며, 특히 피해자 보호와 관련된 법을 따르도록 가르칩니다. 이러한 법은 실제로 법전에 있든, 비록 기록되지 않았지만 인정된 불명예 없이 깨질 수 없는 법에 속하든지 간에 말입니다.""
투키디데스, 펠로폰네소스 전쟁사, 약 기원전 415년
다음 중 이 시기에 그리스 문화가 지중해 지역에 널리 퍼지게 된 주요 이유 중 하나를 정확히 설명한 것은 무엇입니까?","['그리스의 지리에는 수익성 있는 광산업을 촉진하는 많은 천연 자원이 포함되어 있습니다.', '그리스의 지리에는 성공적인 어업을 촉진하는 수많은 담수호가 포함되어 있습니다.', '그리스의 지리에는 광범위한 농업을 촉진하는 저명한 강 계곡이 포함되어 있습니다.', '그리스의 지리에는 무역과 상업을 촉진하는 많은 천연 항구가 포함되어 있습니다.']",3
다음 중 참나무를 구성하는 유기물의 건조 질량에 가장 큰 기여를 하는 원천은 무엇입니까?,"['뿌리에 의해 흡수되는 토양에서 부패하는 물질의 유기 분자들', '뿌리에 의해 흡수되는 지하수에 용해된 무기 영양소들', '뿌리에 의해 흡수되는 물과 공기 중의 이산화탄소', '도토리의 떡잎에 위치한 배젖']",2
1990년대 초국가적 범죄(TNC)의 확장을 가능하게 한 요인은 무엇입니까?,"['초국가적 범죄는 국방비 감소와 군대의 해체로 인해 발생했으며, 이는 활동의 위험을 줄였습니다.', 'TNC라는 개념은 유럽에서 갈등 해결과 평화 구축의 수단으로 약한 국가에서 인권 보안 문제와 개발 기회와 연계된 학문적 영역에서 등장했습니다.', '초국가적 범죄 활동은 국제 시스템의 특징이었습니다. 정책 커뮤니티에서 TNC에 대한 관심이 증가한 이유는 정보 및 통신 기술의 발전으로 문제의 규모와 범위를 정확하게 파악할 수 있게 되었기 때문입니다.', '세계화와 같은 국제적 추세는 초국가적 범죄 발전을 위한 새로운 공간을 열어주는 의도치 않은 결과를 초래했을 수 있습니다.']",3
변연계는 _______ 중요한 역할을 합니다.,"['균형 유지.', '감정 조절.', '각성 모니터링.', '감각 정보 처리.']",1
"다음 정보와 관련된 질문입니다.
""옛날에 텐크테리 이후에 브루크테리가 왔지만, 지금 일반적인 설명은 카마비와 앙그리바리이 그들의 정착지에 들어와 그들을 몰아내고 인근 부족들의 공통된 도움으로 그들을 완전히 절멸시켰다는 것입니다. 그들의 폭정에 대한 증오, 약탈의 매력, 혹은 우리에 대한 하늘의 호의로 인해 그들이 그렇게 되었다는 것입니다. 이 전투의 광경을 우리에게 아낌없이 보여주었습니다. 60,000명 이상이 로마의 무기 아래서가 아니라, 훨씬 더 멋지게도 우리의 기쁜 눈앞에서 쓰러졌습니다. 나는 기도하기를, 부족들이 우리에 대한 사랑이 아니라면 적어도 서로에 대한 증오를 영원히 유지하기를 바랍니다. 제국의 운명이 우리를 재촉하는 동안, 운명은 우리의 적들 사이의 불화보다 더 큰 혜택을 줄 수 없습니다.""
게르마니아, 푸블리우스 코르넬리우스 타키투스, 약 서기 98년
다음 중 600–1450 C.E. 기간 동안 문명 사회가 야만인들을 대하는 방식으로, 600 B.C.E.에서 600 C.E. 사이의 문명 사회가 야만인들을 대하는 방식과 유사한 것은 무엇입니까?","['야만인들은 그들의 호스트 사회의 종교로 개종되었습니다.', '야만인들은 그들의 호스트 사회에서 군인으로 활용되었습니다.', '야만인들은 그들의 호스트 사회의 법에 의해 일률적으로 노예 상태로 격하되었습니다.', '야만인들은 종종 그들의 호스트 사회에 의해 그 사회의 통치 계급 대신 통치하도록 초대되었습니다.']",1
다음 중 역사적인 북미 이주 흐름에 관한 설명으로 옳지 않은 것은 무엇입니까?,"[""캐나다의 첫 번째 주요 이주는 프랑스에서 왔다."", ""캐나다의 두 번째 주요 이주 흐름은 영국 제도에서 시작되었다."", ""캐나다의 세 번째 주요 이주 흐름은 라틴 아메리카에서 왔다."", ""미국으로의 첫 번째 주요 이주 물결은 유럽에서 시작되었다.""]",2
"다음 정보와 관련된 질문입니다.
질문에 답하기 위해 다음 시를 읽으십시오.
백인의 짐을 짊어지세요—
여러분이 낳은 최고의 자식을 보내세요—
여러분의 아들들을 망명에 묶으세요
포로들의 필요를 위해;
무거운 장비를 착용하고 기다리세요,
흩날리는 사람들과 야생에서—
새로 잡힌, 우울한 사람들,
반은 악마이고 반은 아이인.
...
백인의 짐을 짊어지세요—
평화의 야만적인 전쟁—
기근의 입을 가득 채우고
병이 멈추도록 명령하세요;
그리고 목표가 가장 가까워졌을 때
다른 사람들이 추구하는 끝…
나태와 이교도의 어리석음이
모든 희망을 무너뜨리는 것을 지켜보세요.
러디어드 키플링, 백인의 짐, 1899
이 시는 영국 제국의 지배나 영향하에 있는 원주민들에 대해 어떤 태도를 묘사하고 있습니까?","['그들은 영국 인종의 ""망명된 아들들""이다.', '그들은 ""야만적""이지만 지속적인 평화를 위해 전쟁을 한다.', '그들은 기독교로 개종할 준비가 되어 있다.', '그들은 덜 문명화되고 덜 발전된 문명의 산물이다.']",3
"충전 기계는 평균 4온스의 커피를 병에 넣으며, 표준 편차는 0.25온스입니다. 이 기계로 채워진 40개의 병이 무작위로 선택되었습니다. 샘플 병에 채워진 병당 평균 양이 3.9온스 미만일 확률은 얼마입니까?","['0.0057', '0.0225', '0.025', '0.05']",0
18.5 달러/m 갤 = 3.60 달러/7.5 갤을 해결하십시오. 필요한 경우 소수점 둘째 자리까지 반올림하십시오.,"['8.86', '42.25', '32.54', '38.44']",3
다음 중 일반적인 구조 조정 정책이 빈곤층에 미치는 영향은 무엇입니까?,"['수입 의약품과 같은 중요한 자원을 포함한 수입 비용이 급등합니다. 기본 식품 가격이 상승하여 이미 빠듯한 가계 예산에 더 큰 압박을 가합니다.', '건강, 교육 및 사회 복지 지출의 감소와 비용 회수 및 사용자 요금 도입으로 인해 많은 일반 사람들이 의료 및 교육을 이용할 수 없게 됩니다. 공공 부문 감원과 급여 동결로 인해 교사와 의사의 수가 줄어듭니다.', '사회 보장 제도가 없는 대규모 감원과 실업 증가로 인해 가정이 더 깊은 빈곤에 빠집니다. 농부와 소규모 회사는 더 이상 돈을 빌릴 여유가 없으며 생산을 줄이거나 사업을 접어야 합니다.', '모든 옵션이 해당됩니다.']",3
"다음 두 가지 시나리오 중 어느 시나리오에서 주인공(나/저/내가 사용하는 사람)이 2020년 미국의 일반적인 도덕 기준에 따라 명백히 도덕적으로 잘못된 행동을 하나요? 시나리오 1 | 조부모님이 주무실 때, 나는 그들의 빨래를 널었다. 시나리오 2 | 나는 주일학교가 끝난 후 소년을 만졌다.","['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",2
특정 지도는 1인치가 25마일에 해당하는 축척을 사용합니다. 이 지도에서 5인치는 몇 마일에 해당합니까?,"['5', '25', '50', '125']",3
"독립 선언서에 명시된 ""우리는 다음 진리를 자명한 것으로 여긴다, 모든 사람은 평등하게 태어났다""는 자유의 원칙은 정치 철학자 _______의 신념에 영향을 받았습니다.","['토마스 홉스', '니콜로 마키아벨리', '조나단 에드워즈', '존 로크']",3
다음 중 M1 통화 공급 측정의 구성 요소는 무엇입니까?,"['저축 예금', '금괴', '현금 및 동전', '30년 만기 국채 증서']",2
확장적 재정 정책은 _______에 가장 적합합니다.,"['경기 침체 격차를 제거하다', '인플레이션을 줄이다', '이자율을 낮추다', '인플레이션 격차를 제거하다']",0
외과적 지지대는 _______에 사용할 수 있습니다.,"['탈출된 장루', '고출력 장루', '장루 주변 탈장', '장루의 후퇴']",2
"몸 속의 높은 수준의 포도당에 대한 혈액 호르몬의 반응을 결정하기 위해 마우스 모델을 사용하는 과학자가 이전에 설명되지 않은 새로운 호르몬을 발견했습니다. 그의 데이터에 따르면, 이 호르몬은 기능을 수행할 때 세포 내외 모두에서 발견되며, 기능하는 동안 세포 내 핵산의 양을 증가시키고, 4개의 하이드록시카본 고리를 포함한 구조에서 유래된 것입니다. 이 호르몬은 어떤 유형의 호르몬으로 분류될 가능성이 높습니까?","['효소', '스테로이드', '펩타이드', '아미노산']",1
_________ 프레임워크는 취약점의 크래킹을 포인트 앤 클릭처럼 쉽게 만들었습니다.,"['.Net', 'Metasploit', 'Zeus', 'Ettercap']",1
보험 회사는 대도시 운전자들이 자동차 사고 사이에 몇 년을 보내는지 조사하고자 합니다. 그들은 운전자 샘플에서 데이터를 얻고 분석할 계획입니다. 다음 중 어느 것이 사실입니까?,"['합리적인 시간과 비용 절감 절차는 도시의 모든 AAA(미국 자동차 협회) 회원의 이용 가능한 목록에서 체계적 표본 추출을 사용하는 것입니다.', '합리적인 시간과 비용 절감 절차는 가족을 무작위로 선택하고 이 가족의 모든 운전자를 샘플에 포함시키는 것입니다.', '사고 사이의 평균 연수를 결정하기 위해, 샘플 크기가 매우 큰 한 운전자 샘플을 무작위로 선택하는 것은 중요하지 않습니다.', '위의 어느 것도 사실이 아닙니다.']",3
루브르 박물관은 어디에 있습니까?,"['파리', '리옹', '제네바', '비시']",0
진술 1| Word2Vec 매개변수는 제한 볼츠만 머신을 사용하여 초기화되지 않았습니다. 진술 2| tanh 함수는 비선형 활성화 함수입니다.,"['참, 참', '거짓, 거짓', '참, 거짓', '거짓, 참']",0
전신 경화증에 대해 다음 중 참인 것은 무엇입니까?,"['남성에게 더 많이 영향을 미친다', '모세혈관 확장이 보이면 진단이 확실해진다', '거미손가락증이 질병의 특징이다', '환자는 부리 모양의 코와 왁스 같은 피부를 가진다']",3
"에이미의 치료사는 에이미가 자신의 문제에 대해 이야기할 때 고개를 끄덕이며 ""네, 그렇군요""라고 말합니다. 그녀가 경험한 치료는 다음 중 어느 것입니까?","['정신분석', '행동 치료', '인본주의 치료', '인지 치료']",2
4 : 32와 같은 비율은 무엇입니까?,"['2 : 96; 2 : 16', '12 : 96; 2 : 16', '12 : 96; 12 : 16', '2 : 96; 12 : 16']",1
"다음 두 가지 시나리오 중 어느 것에서 주인공(나/내가/내가 사용하는)이 2020년 미국의 일반적인 도덕 기준에 따라 명백히 도덕적으로 잘못된 행동을 합니까? 시나리오 1 | 내가 다른 방에서 자고 있을 때, 내 룸메이트가 내 인증 우편을 열었습니다. 시나리오 2 | 나는 모니터로 아기를 들었습니다.","['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",1
"2020년 미국의 일반적인 도덕 기준에 따르면, 이 두 가지 시나리오 중 어느 경우에서 주인공(나/내가/내)은 명백히 도덕적으로 잘못된 행동을 합니까? 시나리오 1 | 나는 그의 논문을 다시 작성하여 학업을 도와주었다. 시나리오 2 | 나는 내 동생의 새 플레이스테이션 비디오 게임 시스템이 플라스틱으로 만들어졌다는 것을 보고, 요청받지 않았지만 그것을 재활용했다.","['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",0
스너버 회로는 SCR과 함께 사용됩니다,"['직렬로.', '병렬로.', '직렬 또는 병렬로.', '반병렬로.']",1
다음 중 어떤 선천성 대사 이상이 아연 결핍을 초래합니까?,"['Acrodermatitis enteropathica', ""윌슨병"", '멘케스병', '혈색소증']",0
다음 중 순수(또는 완전) 경쟁 시장에서 재화 X의 균형에 대해 참인 것은 무엇입니까?,"['재화 X의 부족이 존재한다.', '재화 X의 수요량이 공급량과 같다.', '재화 X의 과잉이 존재한다.', '정부가 시장 가격에서 생산되는 재화 X의 양을 규제한다.']",1
철학자 노자는 어떤 전통과 관련이 있습니까?,"['자이나교', '불교', '유교', '도교']",3
"배우자를 잃은 후, 생존한 배우자는 종종 첫해에 사망하는데, 그 이유는","['스트레스와 사회적 지원의 상실', '사망한 배우자와 같은 질병을 앓고 있어서', '빠르게 재혼하지 못해서', '같은 결함 유전자를 가지고 있어서']",0
항공기가 음속 폭음을 발생시키는 동안 항공기는,"['음속의 장벽을 돌파하고 있다', '아음속 다이빙에서 빠져나오고 있다', '음속보다 빠르게 비행하고 있다', '이들 모두가 음속 폭음을 발생시킨다']",2
"아래 코드 세그먼트는 리스트에 항목이 나타나면 true를 반환하고 그렇지 않으면 false를 반환하는 IsFound(list, item) 절차를 사용합니다. 리스트 resultList는 처음에 비어 있습니다.
  FOR EACH item IN inputList1{
 IF (isFound (inputList2, item) )
 APPEND (resultList, item)
 }
 이 코드 세그먼트가 실행된 후 resultList의 내용에 대해 다음 중 가장 잘 설명한 것은 무엇입니까?","['inputList1의 모든 요소 다음에 inputList2의 모든 요소', 'inputList1과 inputList2 모두에 나타나는 요소들만', 'inputList1 또는 inputList2에 나타나지만 두 리스트 모두에 나타나지 않는 요소들만', 'inputList1에 나타나지만 inputList2에는 나타나지 않는 요소들만']",1
"법률 규칙이 변경되었음을 숨기거나 숨기려는 가정을 나타내는 표현은, 그 글자는 변경되지 않았지만 그 작용은 수정된 경우:","['법적 허구', '형평성', '관습', '입법']",0
